clip_id,state,scenario,location,source,source_url,source_type,rights_status,download_or_extraction_note,labeling_notes
TN-S01,SAFE,Tamil Nadu highway traffic,Tamil Nadu,Pexels,https://www.pexels.com/video/aerial-view-of-busy-indian-national-highway-31995845/,source video,Downloadable/free-to-use page,Use a traffic-heavy segment; verify exact segment manually,Tamil Nadu highway; aerial
TN-S02,SAFE,Chennai urban streets,Chennai,Pexels,https://www.pexels.com/video/urban-streetscape-in-chennai-india-29980781/,source video,Downloadable/free-to-use page,Use road/traffic portion,Chennai; urban traffic
TN-S03,SAFE,Tamil Nadu busy street,Tamil Nadu,Pexels,https://www.pexels.com/video/bustling-street-life-in-tamil-nadu-32707438/,source video,Downloadable/free-to-use page,Use road/vehicle portion,Rickshaws; pedestrians
TN-S04,SAFE,Chennai traffic / urban road,Chennai,Pexels,https://www.pexels.com/video/bustling-city-traffic-on-busy-urban-road-32034252/,source video,Downloadable/free-to-use page,Use traffic segment,Cars; bikes; bus; pedestrians
TN-S05,SAFE,South India rainy urban street,Tamil Nadu / South India,Pexels,https://www.pexels.com/video/boy-walking-in-the-rain-18293121/,source video,Downloadable/free-to-use page,Use rainy traffic portion,Rain; pedestrians; motorcycles
TN-S06,SAFE,India crossroads traffic,India,Pixabay,https://pixabay.com/videos/india-crossroads-traffic-busy-road-8698/,source video,Pixabay free download; MP4 listed,Use normal-flow portion,Crossroads; vehicles
TN-S07,SAFE,Chennai city traffic pool,Chennai,Pixabay,https://pixabay.com/videos/search/chennai%20city/,source pool,Free-download collection; select one clip,Choose a road/traffic clip and record its individual URL,Chennai
TN-S08,SAFE,Chennai Smart City traffic pool,Chennai,Pixabay,https://pixabay.com/videos/search/chennai%20smart%20city/,source pool,Free-download collection; select one clip,Choose traffic/road footage,Chennai; urban
TN-S09,SAFE,Tamil Nadu / India traffic pool,Tamil Nadu / India,Pixabay,https://pixabay.com/videos/search/india%20traffic/,source pool,Free-download collection; select one clip,Filter for Tamil Nadu/Chennai-looking footage,India traffic
TN-S10,SAFE,Indian road traffic pool,India,Pixabay,https://pixabay.com/videos/search/indian%20road%20traffic/,source pool,Free-download collection; select one clip,Choose multi-vehicle road footage,Cars; bikes; highways
TN-S11,SAFE,Indian roads pool,India,Pixabay,https://pixabay.com/videos/search/indian%20roads/,source pool,Free-download collection; select one clip,Choose vehicle-focused footage,Roads; highways
TN-S12,SAFE,India traffic pool,India,Pexels,https://www.pexels.com/search/videos/india%20traffic/,source pool,Free-download collection; select one clip,Choose vehicle-focused footage,Cars; motorcycles; intersections
TN-W01,WARNING,Chennai traffic — close approach candidate,Chennai,Pexels,https://www.pexels.com/video/bustling-city-traffic-on-busy-urban-road-32034252/,segment from source,Free-to-use source,Extract a segment with vehicles closing distance; manually verify,Label WARNING only if risk is visibly increasing
TN-W02,WARNING,Tamil Nadu highway — merge/approach candidate,Tamil Nadu,Pexels,https://www.pexels.com/video/aerial-view-of-busy-indian-national-highway-31995845/,segment from source,Free-to-use source,Extract a segment with converging/merging traffic,Label WARNING after trajectory conflict begins
TN-W03,WARNING,India crossroads — approach candidate,India,Pixabay,https://pixabay.com/videos/india-crossroads-traffic-busy-road-8698/,segment from source,Pixabay free download; MP4 listed,Extract a vehicle-approach/intersection segment,Do not label accident unless collision occurs
TN-W04,WARNING,Rainy South India traffic — reduced visibility,Tamil Nadu / South India,Pexels,https://www.pexels.com/video/boy-walking-in-the-rain-18293121/,segment from source,Free-to-use source,Extract traffic/pedestrian interaction if present,Use only if vehicles are visible and risk is observable
TN-C01,CRITICAL,Chennai traffic — dangerous interaction candidate,Chennai,Pexels,https://www.pexels.com/video/bustling-city-traffic-on-busy-urban-road-32034252/,segment from source,Free-to-use source,Extract only a visibly high-risk interaction,"Examples: sudden braking, near-conflict, unsafe merge"
TN-C02,CRITICAL,Tamil Nadu highway — high-risk convergence candidate,Tamil Nadu,Pexels,https://www.pexels.com/video/aerial-view-of-busy-indian-national-highway-31995845/,segment from source,Free-to-use source,Extract high-risk convergence if visible,Use only with strong trajectory conflict
TN-C03,CRITICAL,Thoppur pre-collision sequence,"Dharmapuri, Tamil Nadu",NDTV,https://www.ndtv.com/video/4-killed-in-freak-vehicle-collision-in-tamil-nadu-cctv-captures-horror-756268,segment from source,News footage; reuse rights must be checked,Use the seconds immediately before the first impact,Excellent critical-state candidate
TN-C04,CRITICAL,Virudhunagar–Madurai SUV approach,Tamil Nadu,NDTV,https://www.ndtv.com/video/video-suv-flips-after-hitting-divider-at-high-speed-in-tamil-nadu-5-dead-775203,segment from source,News/CCTV footage; reuse rights must be checked,Use the approach before SUV reaches the two-wheeler/divider,Excellent critical-state candidate
TN-A01,ACCIDENT,Thoppur Ghat four-vehicle collision,"Dharmapuri, Tamil Nadu",NDTV,https://www.ndtv.com/video/4-killed-in-freak-vehicle-collision-in-tamil-nadu-cctv-captures-horror-756268,source video,News/CCTV footage; reuse rights must be checked,Use collision portion; original video is 0:58,Truck → truck → chain reaction → car
TN-A02,ACCIDENT,Rameswaram auto collision,"Rameswaram, Tamil Nadu",NDTV,https://www.ndtv.com/video/tamil-nadu-news-auto-rams-into-complex-pillar-in-rameswaram-871847,source video,News/CCTV footage; reuse rights must be checked,Use impact portion; original video is 0:53,Auto → pillar
TN-A03,ACCIDENT,Virudhunagar–Madurai SUV crash,Tamil Nadu,NDTV,https://www.ndtv.com/video/video-suv-flips-after-hitting-divider-at-high-speed-in-tamil-nadu-5-dead-775203,source video,News/CCTV footage; reuse rights must be checked,Use collision/rollover portion; original video is 0:36,SUV → two-wheeler → divider
TN-A04,ACCIDENT,Chennai car accident CCTV,Chennai,YouTube / Thanthi TV,https://www.youtube.com/watch?v=0_u04yBX1vA,source video,YouTube/news footage; reuse rights must be checked,Use collision portion if accessible under permitted use,Chennai CCTV
TN-E01,EMERGENCY,Thoppur severe multi-vehicle crash,"Dharmapuri, Tamil Nadu",NDTV,https://www.ndtv.com/video/4-killed-in-freak-vehicle-collision-in-tamil-nadu-cctv-captures-horror-756268,segment from source,News/CCTV footage; reuse rights must be checked,Use severe collision aftermath/impact segment,Emergency severity candidate
TN-E02,EMERGENCY,Virudhunagar–Madurai severe SUV rollover,Tamil Nadu,NDTV,https://www.ndtv.com/video/video-suv-flips-after-hitting-divider-at-high-speed-in-tamil-nadu-5-dead-775203,segment from source,News/CCTV footage; reuse rights must be checked,Use rollover/impact segment,Emergency severity candidate
TN-E03,EMERGENCY,Rameswaram auto crash,"Rameswaram, Tamil Nadu",NDTV,https://www.ndtv.com/video/tamil-nadu-news-auto-rams-into-complex-pillar-in-rameswaram-871847,segment from source,News/CCTV footage; reuse rights must be checked,Use impact + immediate aftermath if visible,Emergency only if your policy defines serious consequence
TN-E04,EMERGENCY,Chennai car-fire/accident CCTV candidate,Chennai,YouTube,https://www.youtube.com/watch?v=EhaJC6ue_u8,source video,YouTube/news footage; reuse rights must be checked,Use fire/emergency portion if accessible under permitted use,Emergency-response demonstration candidate
